,Countries,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Total_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests,Population,Continent,Casee_veryX_ppl,Death_every_ppl,estevery,New_Cases_1M_pop,New Deaths_1M pop,Active Cases_1M pop
1,USA,"59,564,116",,"855,843",,"42,089,198",,"16,619,075","21,467","178,368","2,563","829,437,395","2,483,791","333,940,077",North America,6,390,0,,,"49,767"
2,India,"35,226,386",,"483,178",,"34,371,845",,"371,363","8,944","25,152",345,"686,819,128","490,399","1,400,531,874",Asia,40,"2,899",2,,,265
3,Brazil,"22,395,322",,"619,730",,"21,567,845",,"207,747","8,318","104,239","2,885","63,776,166","296,846","214,845,887",South America,10,347,3,,,967
4,UK,"14,015,065",,"149,515",,"10,620,728",,"3,244,822",875,"204,822","2,185","416,613,079","6,088,546","68,425,705",Europe,5,458,0,,,"47,421"
5,France,"11,183,238",,"125,013",,"8,393,827",,"2,664,398","3,333","170,757","1,909","188,795,159","2,882,715","65,492,135",Europe,6,524,0,,,"40,683"
6,Russia,"10,601,300",,"313,817",,"9,623,677",,"663,806","2,300","72,597","2,149","242,300,000","1,659,257","146,029,186",Europe,14,465,1,,,"4,546"
7,Turkey,"9,787,274",,"83,231",,"9,217,669",,"486,374","1,128","114,188",971,"121,013,917","1,411,866","85,712,040",Asia,9,"1,030",1,,,"5,675"
8,Germany,"7,399,003",,"114,207",,"6,664,800","38,300","619,996","4,636","87,885","1,357","89,622,218","1,064,530","84,189,432",Europe,11,737,1,,,"7,364"
9,Italy,"6,975,465",,"138,474",,"5,243,412",,"1,593,579","1,467","115,627","2,295","145,453,492","2,411,075","60,327,235",Europe,9,436,0,,,"26,416"
10,Spain,"6,922,466",,"89,837",,"5,124,221",,"1,708,408","2,005","147,972","1,920","66,213,858","1,415,365","46,782,192",Europe,7,521,1,,,"36,518"
11,Iran,"6,203,046",,"131,802",,"6,047,528",,"23,716","2,209","72,449","1,539","42,484,271","496,201","85,619,125",Asia,14,650,2,,,277
12,Argentina,"6,025,303",,"117,386",,"5,427,191",,"480,726","1,572","131,490","2,562","28,841,649","629,410","45,823,275",South America,8,390,2,,,"10,491"
13,Colombia,"5,242,672",,"130,191",,"5,006,108",,"106,373",342,"101,399","2,518","30,077,449","581,731","51,703,390",South America,10,397,2,,,"2,057"
14,Indonesia,"4,264,669",,"144,116",,"4,115,358",,"5,195",,"15,346",519,"64,718,098","232,883","277,899,403",Asia,65,"1,928",4,,,19
15,Poland,"4,179,292",,"99,311",,"3,683,571",,"396,410","1,836","110,611","2,628","27,705,500","733,263","37,783,861",Europe,9,380,1,,,"10,492"
16,Mexico,"4,055,095","25,821","299,933",128,"3,325,558","3,615","429,604","4,798","30,959","2,290","12,570,815","95,973","130,982,156",North America,32,437,10,197,1,"3,280"
17,Ukraine,"3,696,468","7,177","97,088",192,"3,506,509","5,595","92,871",177,"85,298","2,240","16,933,070","390,739","43,335,957",Europe,12,446,3,166,4,"2,143"
18,South Africa,"3,504,554",,"92,112",,"3,260,642",,"151,800",546,"57,984","1,524","21,441,211","354,753","60,439,798",Africa,17,656,3,,,"2,512"
19,Netherlands,"3,247,900",,"21,041",,"2,769,789",,"457,070",436,"188,916","1,224","21,107,399","1,227,727","17,192,259",Europe,5,817,1,,,"26,586"
20,Philippines,"2,888,917",,"51,743",,"2,780,613",,"56,561",899,"25,843",463,"25,509,903","228,201","111,787,141",Asia,39,"2,160",4,,,506
21,Malaysia,"2,776,699",,"31,628",,"2,705,292",,"39,779",253,"84,160",959,"41,824,593","1,267,671","32,993,261",Asia,12,"1,043",1,,,"1,206"
22,Czechia,"2,510,796",,"36,449",,"2,372,033",,"102,314",482,"233,801","3,394","47,300,975","4,404,576","10,739,053",Europe,4,295,0,,,"9,527"
23,Canada,"2,437,822",,"30,584",,"2,030,568",,"376,670",455,"63,746",800,"53,527,515","1,399,673","38,242,860",North America,16,"1,250",1,,,"9,849"
24,Peru,"2,329,717",,"202,934",,,,,906,"69,200","6,028","22,086,761","656,045","33,666,538",South America,14,166,2,,,"12,063"
25,Thailand,"2,252,776","7,526","21,799",19,"2,188,397","2,895","42,580",588,"32,153",311,"17,270,775","246,496","70,065,085",Asia,31,"3,214",4,107,0.3,608
26,Belgium,"2,206,992","27,282","28,446",17,"1,840,477","13,822","338,069",471,"189,182","2,438","27,727,666","2,376,801","11,665,962",Europe,5,410,0,"2,339",1,"28,979"
27,Iraq,"2,095,848",,"24,194",,"2,066,713",,"4,941",68,"50,397",582,"16,890,412","406,151","41,586,555",Asia,20,"1,719",2,,,119
28,Vietnam,"1,843,563",,"33,644",,"1,464,415",,"345,504","6,626","18,685",341,"75,383,396","764,044","98,663,740",Asia,54,"2,933",1,,,"3,502"
29,Romania,"1,827,867",,"58,940",,"1,753,835",,"15,092",400,"95,984","3,095","17,349,823","911,068","19,043,387",Europe,10,323,1,,,793
30,Chile,"1,817,300",,"39,207",,"1,736,005",,"42,088",479,"93,847","2,025","27,663,537","1,428,570","19,364,490",South America,11,494,1,,,"2,173"
31,Japan,"1,743,547","4,194","18,398",,"1,713,567",379,"11,582",91,"13,850",146,"29,652,366","235,541","125,890,298",Asia,72,"6,843",4,33,,92
32,Bangladesh,"1,589,947",,"28,097",,"1,550,364",,"11,486","1,349","9,511",168,"11,610,336","69,452","167,171,785",Asia,105,"5,950",14,,,69
33,Portugal,"1,539,050",,"19,054",,"1,272,556",,"247,440",158,"151,605","1,877","27,780,292","2,736,517","10,151,698",Europe,7,533,0,,,"24,374"
34,Switzerland,"1,448,527",,"12,411",,"1,068,745",,"367,371",301,"165,538","1,418","14,676,961","1,677,291","8,750,397",Europe,6,705,1,,,"41,983"
35,Israel,"1,448,455",,"8,259",,"1,361,936",,"78,260",133,"155,314",886,"40,079,138","4,297,570","9,326,000",Asia,6,"1,129",0,,,"8,392"
36,Greece,"1,422,020",,"21,185",,"1,049,718",,"351,117",639,"137,447","2,048","49,462,354","4,780,832","10,345,973",Europe,7,488,0,,,"33,938"
37,Sweden,"1,375,267",,"15,326",,"1,207,521","3,334","152,420",115,"134,902","1,503","15,268,363","1,497,696","10,194,565",Europe,7,665,1,,,"14,951"
38,Serbia,"1,327,455",,"12,850",,"1,269,630",,"44,975",79,"152,861","1,480","7,349,981","846,373","8,684,088",Europe,7,676,1,,,"5,179"
39,Austria,"1,312,939",,"13,823",,"1,247,752",,"51,364",295,"144,530","1,522","125,526,389","13,818,149","9,084,168",Europe,7,657,0,,,"5,654"
40,Pakistan,"1,301,141","1,293","28,961",6,"1,258,086",239,"14,094",609,"5,722",127,"23,706,375","104,261","227,376,288",Asia,175,"7,851",10,6,0.03,62
41,Hungary,"1,276,433",,"39,679",,"1,133,345",,"103,409",307,"132,641","4,123","9,256,170","961,858","9,623,215",Europe,8,243,1,,,"10,746"
42,Jordan,"1,074,007",,"12,810",,"1,035,143",,"26,054",745,"103,705","1,237","13,755,650","1,328,229","10,356,383",Asia,10,808,1,,,"2,516"
43,Kazakhstan,"990,039",,"13,043",,"961,806",,"15,190",528,"51,790",682,"11,575,012","605,500","19,116,459",Asia,19,"1,466",2,,,795
44,Morocco,"983,629",,"14,883",,"946,289",,"22,457",103,"26,180",396,"10,973,221","292,056","37,572,376",Africa,38,"2,525",3,,,598
45,Cuba,"970,567",,"8,325",,"958,382",,"3,860",25,"85,768",736,"11,769,922","1,040,100","11,316,150",North America,12,"1,359",1,,,341
46,Georgia,"949,176",,"14,082",,"908,813",,"26,281",,"238,632","3,540","13,095,005","3,292,208","3,977,575",Asia,4,282,0,,,"6,607"
47,Ireland,"908,672",,"5,952",,"596,774",,"305,946",90,"180,966","1,185","9,975,030","1,986,572","5,021,228",Europe,6,844,1,,,"60,931"
48,Denmark,"896,566",,"3,333",,"661,809",,"231,424",82,"153,968",572,"109,165,488","18,747,055","5,823,074",Europe,6,"1,747",0,,,"39,743"
49,Slovakia,"856,685",,"16,871",,"802,622",,"37,192",455,"156,797","3,088","5,156,380","943,762","5,463,645",Europe,6,324,1,,,"6,807"
50,Nepal,"830,480",,"11,602",,"813,447",,"5,431",114,"27,748",388,"4,901,742","163,778","29,929,137",Asia,36,"2,580",6,,,181
51,UAE,"777,584",,"2,170",,"750,156",,"25,258",,"77,209",215,"113,888,287","11,308,349","10,071,168",Asia,13,"4,641",0,,,"2,508"
52,Bulgaria,"770,001",,"31,375",,"617,448",,"121,178",509,"112,094","4,567","7,621,318","1,109,484","6,869,248",Europe,9,219,1,,,"17,641"
53,Australia,"762,458","78,231","2,321",20,"351,637",,"408,500",269,"29,385",89,"56,553,912","2,179,555","25,947,462",Australia/Oceania,34,"11,179",0,"3,015",0.8,"15,743"
54,Lebanon,"753,879",,"9,231",,"672,101",,"72,547",186,"111,205","1,362","4,795,578","707,399","6,779,169",Asia,9,734,1,,,"10,701"
55,Croatia,"745,544",,"12,764",,"692,927",,"39,853",244,"183,318","3,138","3,832,295","942,305","4,066,937",Europe,5,319,1,,,"9,799"
56,Tunisia,"735,973",,"25,630",,"697,844",,"12,499",84,"61,302","2,135","3,446,388","287,062","12,005,714",Africa,16,468,3,,,"1,041"
57,Belarus,"704,907",,"5,669",,"697,953",,"1,285",,"74,636",600,"11,138,815","1,179,382","9,444,618",Europe,13,"1,666",1,,,136
58,S. Korea,"657,508","3,716","5,932",45,"549,488","4,024","102,088",882,"12,808",116,"15,804,065","307,856","51,335,975",Asia,78,"8,654",3,72,0.9,"1,989"
59,Bolivia,"652,819","11,002","19,888",40,"540,099","2,622","92,832",220,"54,795","1,669","2,633,963","221,084","11,913,857",South America,18,599,5,923,3,"7,792"
60,Guatemala,"631,730",,"16,114",,"609,211",,"6,405",5,"34,302",875,"3,300,578","179,218","18,416,604",North America,29,"1,143",6,,,348
61,Azerbaijan,"619,502",,"8,422",,"603,906",,"7,174",,"60,278",819,"5,911,227","575,165","10,277,454",Asia,17,"1,220",2,,,698
62,Sri Lanka,"590,063",,"15,083",,"561,557",,"13,423",,"27,382",700,"5,726,599","265,746","21,549,136",Asia,37,"1,429",4,,,623
63,Costa Rica,"581,394",,"7,370",,"561,676",,"12,348",55,"112,575","1,427","3,015,552","583,900","5,164,501",North America,9,701,2,,,"2,391"
64,Saudi Arabia,"568,650",,"8,888",,"544,161",,"15,601",117,"15,958",249,"33,885,624","950,941","35,633,780",Asia,63,"4,009",1,,,438
65,Ecuador,"559,950",,"33,699",,"443,880",,"82,371",759,"31,025","1,867","2,187,626","121,210","18,048,214",South America,32,536,8,,,"4,564"
66,Lithuania,"532,807",,"7,493",,"494,703",,"30,611",88,"199,945","2,812","6,671,559","2,503,614","2,664,771",Europe,5,356,0,,,"11,487"
67,Myanmar,"531,624",,"19,284",,"509,600",,"2,740",,"9,673",351,"6,098,644","110,962","54,961,778",Asia,103,"2,850",9,,,50
68,Panama,"512,402",,"7,449",,"478,796",,"26,157",35,"115,994","1,686","4,604,218","1,042,272","4,417,482",North America,9,593,1,,,"5,921"
69,Slovenia,"478,860",,"5,634",,"447,463",,"25,763",160,"230,291","2,709","2,113,911","1,016,611","2,079,371",Europe,4,369,1,,,"12,390"
70,Paraguay,"472,673",,"16,658",,"448,747",,"7,268",48,"65,061","2,293","2,064,627","284,185","7,265,069",South America,15,436,4,,,"1,000"
71,Venezuela,"446,026",,"5,345",,"435,794",,"4,887",681,"15,753",189,"3,359,014","118,635","28,313,964",South America,63,"5,297",8,,,173
72,Palestine,"441,224",,"4,698",,"433,130",,"3,396",57,"83,555",890,"2,875,118","544,466","5,280,620",Asia,12,"1,124",2,,,643
73,Ethiopia,"440,024",,"7,005",,"359,608",,"73,411",396,"3,689",59,"4,173,607","34,994","119,266,201",Africa,271,"17,026",29,,,616
74,Dominican Republic,"439,017",,"4,252",,"409,832",,"24,933",182,"39,865",386,"2,624,951","238,361","11,012,494",North America,25,"2,590",4,,,"2,264"
75,Uruguay,"430,958",,"6,186",,"402,224",,"22,548",29,"123,415","1,772","4,513,780","1,292,624","3,491,951",South America,8,564,1,,,"6,457"
76,Norway,"428,736",,"1,349",,"88,952",,"338,435",91,"78,160",246,"9,447,282","1,722,264","5,485,386",Europe,13,"4,066",1,,,"61,698"
77,Kuwait,"425,455",,"2,469",,"412,749",,"10,237",11,"97,445",565,"6,100,502","1,397,247","4,366,088",Asia,10,"1,768",1,,,"2,345"
78,Mongolia,"392,430",773,"2,068",1,"313,256",,"77,106",192,"116,860",616,"4,030,048","1,200,089","3,358,123",Asia,9,"1,624",1,230,0.3,"22,961"
79,Libya,"392,276",,"5,767",,"379,111",,"7,398",135,"55,939",822,"2,058,564","293,551","7,012,617",Africa,18,"1,216",3,,,"1,055"
80,Egypt,"390,294",,"21,882",,"324,425",,"43,987",122,"3,708",208,"3,693,367","35,091","105,252,352",Africa,270,"4,810",28,,,418
81,Honduras,"380,883",393,"10,442",,"126,510",300,"243,931",124,"37,552","1,029","1,147,021","113,087","10,142,825",North America,27,971,9,39,,"24,050"
82,Moldova,"378,904",,"10,339",,"363,767",,"4,798",123,"94,260","2,572","2,425,628","603,425","4,019,769",Europe,11,389,2,,,"1,194"
83,Armenia,"345,389",,"7,993",,"332,458",,"4,938",,"116,229","2,690","2,590,957","871,899","2,971,626",Asia,9,372,1,,,"1,662"
84,Oman,"306,755",,"4,117",,"300,666",,"1,972",9,"57,847",776,"25,000,000","4,714,450","5,302,845",Asia,17,"1,288",0,,,372
85,Kenya,"306,686",,"5,411",,"261,067",,"40,208",51,"5,520",97,"3,076,181","55,365","55,561,367",Africa,181,"10,268",18,,,724
86,Bosnia and Herzegovina,"297,333",,"13,568",,"192,218",,"91,547",,"91,489","4,175","1,505,807","463,336","3,249,922",Europe,11,240,2,,,"28,169"
87,Finland,"295,601",,"1,632",,"46,000",,"247,969",47,"53,225",294,"8,795,790","1,583,757","5,553,749",Europe,19,"3,403",1,,,"44,649"
88,Bahrain,"287,939",,"1,395",,"278,737",,"7,807",2,"160,783",779,"8,161,245","4,557,175","1,790,856",Asia,6,"1,284",0,,,"4,359"
89,Singapore,"283,214",,835,,"277,759",,"4,620",13,"47,840",141,"21,098,774","3,564,004","5,919,964",Asia,21,"7,090",0,,,780
90,Latvia,"283,149",,"4,625",,"265,669",,"12,855",73,"152,672","2,494","5,654,192","3,048,703","1,854,622",Europe,7,401,0,,,"6,931"
91,Zambia,"274,087",,"3,782",,"236,878",,"33,427",317,"14,304",197,"3,024,431","157,838","19,161,625",Africa,70,"5,067",6,,,"1,744"
92,Qatar,"260,283",,618,,"246,784",,"12,881",42,"92,700",220,"3,210,583","1,143,449","2,807,805",Asia,11,"4,543",1,,,"4,588"
93,Estonia,"247,863",,"1,945",,"227,373",,"18,545",18,"186,660","1,465","2,565,637","1,932,123","1,327,885",Europe,5,683,1,,,"13,966"
94,Nigeria,"246,195",,"3,066",,"217,509",,"25,620",11,"1,151",14,"3,823,309","17,878","213,859,201",Africa,869,"69,752",56,,,120
95,North Macedonia,"230,265",,"8,002",,"214,054",,"8,209",,"110,532","3,841","1,633,936","784,323","2,083,245",Europe,9,260,1,,,"3,940"
96,Botswana,"229,855",,"2,475",,"216,424",,"10,956",1,"94,848","1,021","2,026,898","836,386","2,423,401",Africa,11,979,1,,,"4,521"
97,Algeria,"220,825",,"6,318",,"151,604",,"62,903",34,"4,902",140,"230,861","5,125","45,048,229",Africa,204,"7,130",195,,,"1,396"
98,Zimbabwe,"220,178",,"5,108",,"191,000",,"24,070",12,"14,495",336,"1,877,246","123,583","15,190,149",Africa,69,"2,974",8,,,"1,585"
99,Albania,"214,941",,"3,233",,"202,386",,"9,322",23,"74,813","1,125","1,495,002","520,355","2,873,040",Europe,13,889,2,,,"3,245"
100,Mozambique,"203,241",,"2,065",,"165,271",,"35,905",13,"6,239",63,"1,132,400","34,760","32,578,095",Africa,160,"15,776",29,,,"1,102"
